round,index,qtime_ms,wall_ms,numFound,error
2,85,99,122,86797,
2,86,108,139,86135,
2,87,106,123,86367,
2,88,67,87,26006,
2,89,76,95,51733,
2,90,70,90,77724,
2,91,92,109,28861,
2,92,70,90,63448,
2,93,97,120,86724,
2,94,91,111,77618,
2,95,103,125,86642,
2,96,50,69,63325,
2,97,98,123,86045,
2,98,59,76,20971,
2,99,79,97,57533,
3,0,638,752,86196,
3,1,648,753,57740,
3,2,632,750,57632,
3,3,650,753,28897,
3,4,79,107,25853,
3,5,102,124,77659,
3,6,87,112,25955,
3,7,68,90,63289,
3,8,61,92,63282,
3,9,100,131,86551,
3,10,80,119,77510,
3,11,100,131,77581,
3,12,64,97,63016,
3,13,79,107,26114,
3,14,86,113,86303,
3,15,90,114,57614,
3,16,75,99,26014,
3,17,110,127,86709,
3,18,57,74,21088,
3,19,65,85,41954,
3,20,126,146,58065,
3,21,63,82,21359,
3,22,80,97,51768,
3,23,66,84,63195,
3,24,89,106,51786,
3,25,106,123,25782,
3,26,64,86,42203,
3,27,146,163,86718,
3,28,67,84,41937,
3,29,75,93,42024,
3,30,131,149,86738,
3,31,73,94,42423,
3,32,96,113,86399,
3,33,61,86,42202,
3,34,79,96,25923,
3,35,64,82,41915,
3,36,79,99,52258,
3,37,65,86,41996,
3,38,79,96,51664,
3,39,65,83,63294,
3,40,72,95,25756,
3,41,53,70,42040,
3,42,60,82,41748,
3,43,108,127,86166,
3,44,105,122,86619,
3,45,104,123,85995,
3,46,103,124,57510,
3,47,63,80,63085,
3,48,105,122,86347,
3,49,83,102,26015,
3,50,107,127,57712,
3,51,64,84,42265,
3,52,89,107,57340,
3,53,48,68,42434,
3,54,51,69,42233,
3,55,49,65,21374,
3,56,66,83,77622,
3,57,64,90,42260,
3,58,79,100,52028,
3,59,104,122,86349,
3,60,95,112,77688,
3,61,87,104,28932,
3,62,93,126,57865,
3,63,79,95,51879,
3,64,94,111,29044,
3,65,51,67,21107,
3,66,97,114,28854,
3,67,84,101,51925,
3,68,84,101,51685,
3,69,54,73,20874,
3,70,56,74,42334,
3,71,76,98,51500,
3,72,100,117,57597,
3,73,74,95,25986,
3,74,74,93,63176,
3,75,53,73,63151,
3,76,95,115,57957,
3,77,54,73,42168,
3,78,70,93,25853,
3,79,78,95,77305,
3,80,83,99,77478,
3,81,47,64,21001,
3,82,76,98,26054,
3,83,46,64,20982,
3,84,102,119,57591,
3,85,73,92,51876,
3,86,61,80,63362,
3,87,75,93,77268,
3,88,48,65,21169,
3,89,47,65,21180,
3,90,69,88,25694,
3,91,57,80,63666,
3,92,70,87,25759,
3,93,55,72,62796,
3,94,94,112,28778,
3,95,72,88,52086,
3,96,106,123,86498,
3,97,54,73,21038,
3,98,62,79,28943,
3,99,47,65,21153,
4,0,483,600,57559,
4,1,479,597,20970,
4,2,521,600,86722,
4,3,485,600,51716,
4,4,108,129,57329,
4,5,66,90,20927,
4,6,103,124,51607,
4,7,83,102,51938,
4,8,100,128,28701,
4,9,99,127,52088,
4,10,59,89,41682,
4,11,112,139,86741,
4,12,54,77,63072,
4,13,67,89,26196,
4,14,101,128,57777,
4,15,52,79,21223,
4,16,59,82,63006,
4,17,49,82,21010,
4,18,69,90,25812,
4,19,109,131,86238,
4,20,99,117,78071,
4,21,74,99,25776,
4,22,77,96,77579,
4,23,70,88,63229,
4,24,118,136,52226,
4,25,70,88,21217,
4,26,121,140,51394,
4,27,123,144,28628,
4,28,124,147,77464,
4,29,118,137,77928,
4,30,120,137,57716,
4,31,73,95,41898,
4,32,75,97,63395,
4,33,104,121,58009,
4,34,97,116,28926,
4,35,57,76,42025,
4,36,102,118,57260,
4,37,61,78,62530,
4,38,87,106,77723,
4,39,108,125,86802,
4,40,105,122,28583,
4,41,57,78,63216,
4,42,100,119,57412,
4,43,67,86,62918,
4,44,110,133,57650,
4,45,109,128,28773,
4,46,119,141,86006,
4,47,119,138,85885,
4,48,51,70,21108,
4,49,56,76,42121,
4,50,48,70,21185,
4,51,55,75,21108,
4,52,95,117,86018,
4,53,65,82,51685,
4,54,90,131,29002,
4,55,68,99,63112,
4,56,97,115,28773,
4,57,61,81,42061,
