round,index,qtime_ms,wall_ms,numFound,error
5,36,2674,2692,51719,
5,37,2724,2742,26003,
5,38,1870,1890,63267,
5,39,1912,1964,62899,
5,40,2685,2703,51186,
5,41,3360,3476,28697,
5,42,2731,2748,51522,
5,43,3418,3441,86923,
5,44,3343,3362,86743,
5,45,3499,3522,29086,
5,46,3446,3481,28788,
5,47,2751,2768,51707,
5,48,3508,3528,57540,
5,49,3414,3433,28877,
5,50,1904,1946,42002,
5,51,1965,2081,62946,
5,52,3550,3602,28708,
5,53,2712,2732,26109,
5,54,1873,1900,41798,
5,55,1957,1984,42044,
5,56,1909,1929,42223,
5,57,2736,2753,77856,
5,58,3528,3614,58003,
5,59,1959,1982,63429,
5,60,2745,2768,25919,
5,61,2739,2764,25945,
5,62,3419,3437,28721,
5,63,3507,3539,57965,
5,64,3691,3713,57581,
5,65,1874,1904,63212,
5,66,3228,3249,77644,
5,67,2921,2948,52087,
5,68,2860,2879,51860,
5,69,1939,2052,63487,
5,70,2713,2735,77927,
5,71,2748,2768,26186,
5,72,2670,2690,77335,
5,73,3434,3460,28558,
5,74,1915,1938,41977,
5,75,1953,2001,63433,
5,76,3458,3475,57878,
5,77,3435,3455,86120,
5,78,2726,2845,25794,
5,79,1969,1998,63202,
5,80,1877,1897,63204,
5,81,2688,2722,77562,
5,82,3463,3481,57718,
5,83,2708,2725,51556,
5,84,3445,3466,57501,
5,85,1911,1971,63272,
5,86,3403,3420,86704,
5,87,2694,2711,77253,
5,88,3435,3493,58124,
5,89,3392,3412,86418,
5,90,1850,1870,21251,
5,91,3408,3427,58032,
5,92,1936,1954,42064,
5,93,2678,2705,77310,
5,94,1936,1954,62863,
5,95,2719,2765,25870,
5,96,3030,3046,86438,
5,97,1893,1910,62977,
5,98,2879,2897,57130,
5,99,2393,2422,28677,
6,0,2059,2083,20960,
6,1,3095,3124,77897,
6,2,3775,3792,86614,
6,3,3110,3129,51669,
6,4,1968,1985,63220,
6,5,3562,3598,57326,
6,6,2707,2740,25912,
6,7,2706,2727,77578,
6,8,1910,1927,63145,
6,9,1984,2051,21156,
6,10,1944,1979,20866,
6,11,3590,3649,28816,
6,12,3564,3583,57533,
6,13,1959,1979,63551,
6,14,2275,2292,63209,
6,15,2530,2559,42431,
6,16,2379,2405,63521,
6,17,2414,2461,42209,
6,18,3933,3951,28707,
6,19,3537,3555,86804,
6,20,3450,3468,86568,
6,21,2741,2765,78076,
6,22,2744,2785,78026,
6,23,3424,3444,57761,
6,24,1949,2044,21051,
6,25,1926,2015,20824,
6,26,1891,1909,62853,
6,27,3461,3484,28668,
6,28,2714,2731,77794,
6,29,2763,2780,25954,
6,30,2721,2741,25914,
6,31,2715,2740,77535,
6,32,3506,3523,28749,
6,33,1861,1886,62999,
6,34,3525,3542,86479,
6,35,3563,3584,28983,
6,36,3529,3546,57771,
6,37,1951,1968,63129,
6,38,3486,3505,57980,
6,39,1927,1977,63037,
6,40,3459,3476,86270,
6,41,3484,3506,28842,
6,42,3436,3465,86521,
6,43,2713,2738,26070,
6,44,3531,3550,28973,
6,45,2742,2781,51982,
6,46,1961,2001,42235,
6,47,3440,3536,86914,
6,48,1913,1933,63167,
6,49,1928,2019,21244,
6,50,1883,1922,21323,
6,51,2691,2718,25859,
6,52,3496,3514,57104,
6,53,1897,1918,42197,
6,54,2739,2759,51663,
6,55,1915,1952,21207,
6,56,1994,2022,42287,
6,57,3545,3567,29131,
6,58,3553,3579,28651,
6,59,2736,2760,51754,
6,60,2790,2827,25696,
6,61,3575,3621,28655,
6,62,2081,2102,21077,
6,63,1953,1973,63501,
6,64,2003,2022,63297,
6,65,2794,2834,51843,
6,66,3462,3481,86530,
6,67,1857,1878,63383,
6,68,1927,1946,42030,
6,69,1933,1961,42298,
6,70,2648,2666,25899,
6,71,3389,3412,57765,
6,72,2633,2651,51754,
6,73,3443,3461,87089,
6,74,2657,2684,51565,
6,75,2652,2671,51619,
6,76,1926,1943,63326,
6,77,3484,3607,86372,
6,78,1911,1932,63049,
6,79,2679,2696,77742,
6,80,3439,3457,86435,
6,81,2696,2753,77752,
6,82,2675,2762,25826,
6,83,1947,1982,42221,
6,84,2659,2678,51431,
6,85,3537,3555,29001,
6,86,3481,3500,86468,
6,87,3551,3568,57241,
6,88,2732,2749,51909,
6,89,2769,2786,77543,
6,90,1911,1929,21040,
6,91,1940,1980,21065,
6,92,1898,1981,21128,
6,93,3579,3661,28604,
6,94,3420,3447,28623,
6,95,2004,2028,63113,
6,96,1956,2001,41984,
6,97,2770,2868,78106,
6,98,3021,3040,57505,
6,99,2154,2174,57489,
7,0,3491,3511,57627,
7,1,2910,2929,26261,
7,2,2908,2926,77899,
7,3,1960,1977,63418,
7,4,3582,3600,58064,
7,5,2819,2878,77397,
7,6,2007,2057,41923,
7,7,1980,2004,42084,
7,8,2762,2783,25734,
7,9,3503,3563,86343,
7,10,1964,2067,63157,
7,11,3496,3515,28914,
7,12,3822,3842,29105,
7,13,2783,2806,77973,
7,14,3212,3279,25721,
7,15,3948,3966,86291,
7,16,2500,2526,42202,
7,17,2952,3021,77383,
7,18,3536,3586,86605,
7,19,2717,2841,51970,
7,20,1933,2037,21028,
7,21,2801,2864,25835,
7,22,2725,2759,78228,
7,23,1985,2013,42251,
7,24,3551,3570,28959,
7,25,3547,3566,86432,
7,26,3522,3540,28668,
7,27,3580,3597,86234,
7,28,2786,2877,51616,
7,29,2713,2730,51894,
7,30,1924,1943,42103,
7,31,3132,3149,77766,
7,32,3482,3500,57662,
7,33,2766,2825,25973,
7,34,3598,3614,28790,
7,35,1987,2072,62970,
7,36,3561,3667,86039,
7,37,2018,2035,63210,
7,38,1935,1955,20837,
7,39,3745,3763,86166,
7,40,2005,2027,21246,
7,41,3414,3467,86324,
7,42,1936,2049,42382,
7,43,2816,2849,26082,
7,44,2770,2812,77874,
7,45,3454,3471,57795,
7,46,3487,3504,86598,
7,47,2753,2773,77596,
7,48,3528,3587,57683,
7,49,2758,2835,25797,
7,50,2010,2086,63638,
7,51,3536,3557,86390,
7,52,2726,2763,51970,
7,53,1948,1975,63101,
7,54,2750,2768,52118,
7,55,2863,2954,26098,
7,56,3664,3680,86536,
7,57,3575,3683,86424,
7,58,3625,3643,57558,
7,59,3384,3408,28808,
7,60,3393,3495,86403,
7,61,4035,4059,28822,
7,62,1969,2132,42078,
7,63,2003,2037,63343,
7,64,1895,1913,63131,
7,65,1935,2051,63315,
7,66,2017,2037,63359,
7,67,1906,1925,41781,
7,68,3528,3551,28913,
7,69,2776,2795,25793,
7,70,2799,2948,25925,
7,71,1948,1979,21151,
7,72,2707,2724,51497,
7,73,3602,3644,28942,
7,74,3599,3644,86349,
7,75,3525,3547,86110,
7,76,2739,2775,52143,
7,77,3536,3553,29039,
7,78,3517,3546,28809,
7,79,3573,3591,57566,
7,80,2740,2843,77825,
7,81,2016,2036,63046,
7,82,2007,2025,20971,
7,83,3431,3489,57386,
7,84,2712,2730,25831,
7,85,3618,3638,29061,
7,86,3611,3634,87098,
7,87,3462,3538,57501,
7,88,2813,2836,51839,
7,89,2835,2883,51979,
7,90,2747,2867,51782,
7,91,2749,2765,77567,
7,92,1868,1889,63394,
7,93,3468,3485,86260,
7,94,1929,1948,63116,
7,95,1904,1921,20972,
7,96,1951,1990,20909,
7,97,2467,2594,26179,
7,98,1436,1481,21031,
7,99,2313,2338,28704,
8,0,3080,3103,77678,
8,1,3050,3075,77719,
8,2,3044,3072,51294,
8,3,3067,3127,51987,
8,4,2786,2891,77434,
8,5,2015,2119,63376,
8,6,3635,3709,86658,
8,7,3633,3682,57500,
8,8,3964,3990,28609,
8,9,2371,2414,21025,
8,10,4045,4066,57791,
8,11,3924,3945,28865,
8,12,3782,3811,28734,
8,13,2865,2942,51709,
8,14,3526,3546,57838,
8,15,3475,3496,86628,
8,16,1997,2018,21256,
8,17,2704,2722,77756,
8,18,2052,2186,63133,
8,19,1969,1993,20941,
8,20,3602,3626,57750,
8,21,2019,2037,63113,
8,22,2738,2797,25686,
8,23,1943,2025,63311,
8,24,3555,7408,28900,
8,25,3097,6416,86540,
8,26,3134,6057,85945,
8,27,2425,5320,51720,
8,28,3513,3591,86253,
8,29,2791,2816,51813,
8,30,2819,2839,77866,
8,31,3571,3592,86409,
8,32,3455,3475,86555,
8,33,2668,2689,25692,
8,34,3438,3458,28932,
8,35,2768,2887,26129,
8,36,2811,2839,78029,
8,37,1925,1945,42048,
8,38,3538,3607,86440,
8,39,1871,1893,42491,
8,40,3695,3742,57277,
8,41,2734,2792,25965,
8,42,3521,3606,86528,
8,43,3605,3634,57709,
8,44,1890,1908,62994,
8,45,1960,1980,63433,
8,46,1980,2000,42117,
8,47,3862,3927,86717,
8,48,3700,3720,57830,
8,49,2116,2136,21028,
8,50,2070,2194,63305,
8,51,3665,3767,28863,
8,52,2756,2776,51849,
8,53,2871,2894,25992,
8,54,2017,2041,42088,
8,55,2744,2858,51712,
8,56,3662,3686,86310,
8,57,2821,2869,26044,
8,58,3567,3589,28791,
8,59,2865,2921,77606,
8,60,1949,1968,21068,
8,61,2818,2842,52169,
8,62,1992,2118,21067,
8,63,3451,3474,86624,
8,64,2741,2760,77872,
8,65,1959,2052,21031,
8,66,2734,2755,52137,
8,67,3524,3545,29121,
8,68,3527,3547,57838,
8,69,2718,2736,51730,
8,70,2833,2854,25880,
8,71,3535,3575,57521,
8,72,2764,2781,51901,
8,73,2065,2086,21062,
8,74,2837,2870,25842,
8,75,2732,2756,77918,
8,76,3481,3501,57526,
8,77,2775,2797,51980,
8,78,2728,2750,26017,
8,79,2725,2745,51617,
8,80,1949,1975,42278,
8,81,3491,3514,57579,
8,82,1909,1943,63380,
8,83,3481,3500,28983,
8,84,2760,2868,77524,
8,85,2703,2723,77110,
8,86,3393,3412,86500,
8,87,3558,3583,28954,
8,88,3589,3617,57376,
8,89,2813,2831,77180,
8,90,2960,2981,51615,
8,91,2902,2925,51716,
8,92,3720,3788,28921,
8,93,2062,2088,21306,
8,94,3462,3484,28879,
8,95,1980,2014,63142,
8,96,2774,2799,51653,
8,97,2847,2867,29004,
8,98,1730,1748,42020,
8,99,1637,1682,21124,
9,0,2765,2796,42013,
9,1,2635,2671,63483,
9,2,2694,2727,41830,
9,3,4395,4432,57682,
9,4,4212,4286,57860,
9,5,3685,3719,77688,
9,6,2609,2628,21078,
9,7,2429,2446,21088,
9,8,2283,2313,21437,
9,9,3195,3222,51566,
9,10,2283,2308,42006,
9,11,3778,3798,51802,
9,12,3696,3714,52069,
9,13,2252,2275,21053,
9,14,3892,3914,58061,
9,15,2841,2863,51779,
9,16,3570,3590,57781,
9,17,3502,3527,28614,
9,18,2874,2894,78097,
9,19,2854,2872,51825,
9,20,2822,2852,51463,
9,21,3599,3721,57549,
9,22,1958,1998,20781,
9,23,3549,3602,57852,
9,24,3454,3481,58096,
9,25,3594,3624,86948,
9,26,2775,2797,77745,
9,27,1932,1952,41891,
9,28,3556,3691,28725,
9,29,1975,1995,20977,
9,30,2043,2064,62853,
9,31,3470,3489,57568,
9,32,3787,3808,87006,
9,33,2097,2120,63442,
9,34,2859,2879,26076,
