round,index,qtime_ms,wall_ms,numFound,error
6,99,661,759,57490,
7,0,1023,1041,57627,
7,1,808,826,26262,
7,2,775,793,77891,
7,3,675,695,63414,
7,4,906,923,58065,
7,5,764,783,77396,
7,6,624,643,41920,
7,7,570,588,42082,
7,8,620,679,25734,
7,9,730,749,86340,
7,10,510,530,63158,
7,11,780,805,28917,
7,12,758,778,29105,
7,13,701,719,77972,
7,14,710,727,25722,
7,15,797,814,86290,
7,16,479,496,42202,
7,17,611,628,77386,
7,18,842,881,86606,
7,19,612,640,51968,
7,20,522,540,21026,
7,21,575,594,25835,
7,22,595,623,78229,
7,23,488,598,42253,
7,24,667,685,28956,
7,25,716,733,86433,
7,26,762,780,28667,
7,27,792,810,86232,
7,28,682,701,51611,
7,29,606,623,51891,
7,30,525,541,42101,
7,31,733,794,77766,
7,32,832,850,57663,
7,33,602,626,25974,
7,34,738,756,28789,
7,35,501,518,62970,
7,36,818,844,86038,
7,37,512,550,63207,
7,38,511,559,20841,
7,39,820,841,86166,
7,40,584,645,21244,
7,41,730,776,86323,
7,42,533,551,42380,
7,43,634,678,26078,
7,44,692,712,77873,
7,45,765,783,57792,
7,46,891,921,86594,
7,47,597,628,77593,
7,48,709,728,57680,
7,49,612,632,25795,
7,50,507,524,63638,
7,51,756,841,86387,
7,52,585,605,51968,
7,53,501,521,63101,
7,54,677,693,52121,
7,55,664,720,26099,
7,56,779,796,86533,
7,57,751,768,86418,
7,58,724,750,57560,
7,59,775,792,28806,
7,60,886,906,86401,
7,61,777,794,28820,
7,62,508,528,42077,
7,63,498,515,63343,
7,64,538,555,63129,
7,65,575,592,63310,
7,66,499,516,63361,
7,67,482,531,41780,
7,68,805,822,28912,
7,69,656,673,25793,
7,70,652,672,25925,
7,71,561,580,21149,
7,72,644,666,51494,
7,73,783,799,28944,
7,74,789,808,86346,
7,75,805,822,86104,
7,76,630,743,52147,
7,77,784,871,29039,
7,78,890,912,28809,
7,79,820,837,57568,
7,80,691,814,77824,
7,81,492,511,63044,
7,82,428,446,20970,
7,83,731,835,57386,
7,84,555,574,25833,
7,85,921,1024,29060,
7,86,828,946,87094,
7,87,706,723,57506,
7,88,581,597,51841,
7,89,625,717,51980,
7,90,613,717,51783,
7,91,570,586,77569,
7,92,466,503,63401,
7,93,819,922,86257,
7,94,549,577,63119,
7,95,546,577,20973,
7,96,528,560,20909,
7,97,551,629,26178,
7,98,392,408,21030,
7,99,633,650,28703,
8,0,1209,1226,77676,
8,1,1221,1239,77717,
8,2,1292,1311,51297,
8,3,1483,1563,51991,
8,4,664,685,77431,
8,5,548,633,63376,
8,6,766,782,86661,
8,7,748,767,57503,
8,8,768,784,28609,
8,9,512,530,21023,
8,10,733,750,57788,
8,11,742,759,28865,
8,12,721,740,28735,
8,13,656,672,51705,
8,14,741,764,57834,
8,15,747,764,86628,
8,16,507,527,21253,
8,17,677,694,77760,
8,18,502,521,63127,
8,19,504,525,20939,
8,20,750,780,57750,
8,21,531,547,63110,
8,22,642,659,25685,
8,23,535,552,63312,
8,24,748,765,28899,
8,25,811,829,86537,
8,26,755,772,85946,
8,27,728,746,51719,
8,28,719,736,86253,
8,29,759,776,51814,
8,30,674,696,77866,
8,31,738,759,86408,
8,32,816,868,86553,
8,33,663,711,25688,
8,34,779,799,28932,
8,35,611,631,26129,
8,36,781,798,78032,
8,37,506,527,42049,
8,38,801,818,86439,
8,39,509,526,42491,
8,40,758,854,57279,
8,41,646,759,25962,
8,42,704,722,86528,
8,43,672,690,57708,
8,44,505,610,62994,
8,45,568,612,63431,
8,46,455,478,42114,
8,47,888,905,86718,
8,48,729,748,57835,
8,49,530,547,21026,
8,50,531,547,63306,
8,51,793,810,28868,
8,52,675,691,51855,
8,53,631,669,25993,
8,54,485,502,42085,
8,55,633,723,51714,
8,56,774,793,86313,
8,57,664,702,26045,
8,58,726,744,28791,
8,59,665,686,77611,
8,60,510,530,21068,
8,61,661,680,52173,
8,62,521,538,21070,
8,63,882,907,86627,
8,64,750,809,77875,
8,65,515,548,21031,
8,66,623,707,52137,
8,67,695,716,29122,
8,68,796,815,57837,
8,69,660,677,51733,
8,70,728,747,25881,
8,71,739,817,57520,
8,72,730,751,51904,
8,73,545,580,21061,
8,74,562,581,25841,
8,75,680,715,77918,
8,76,844,863,57527,
8,77,723,739,51979,
8,78,704,722,26016,
8,79,619,640,51615,
